FinishTime,ArrivalTime,ServiceTime
1323.79,1321.21,0
1324.79,1322.15,0
1325.79,1322.15,0
1326.79,1322.15,0
1328.19,1322.41,0
1330.85,1322.79,0
1332.42,1323.79,0
1333.42,1323.79,0
1334.42,1323.79,0
1335.42,1323.79,0
1337.11,1327.19,0
1339.08,1328.92,0
1340.08,1328.92,0
1343.35,1338.08,0
1344.35,1338.08,0
1345.48,1340.87,0
1346.48,1340.87,0
1347.75,1341.44,0
1348.75,1341.44,0
1351.02,1348.82,0
1352.02,1348.82,0
1354.05,1349.11,0
1355.05,1349.11,0
1356.05,1349.11,0
1357.58,1350.02,0
1358.58,1350.02,0
1359.58,1350.02,0
1363.61,1361.15,0
1364.61,1361.15,0
1366.43,1361.7,0
1367.43,1361.7,0
1368.72,1361.77,0
1370.85,1364.7,0
1371.85,1364.7,0
1372.85,1364.7,0
1373.85,1364.7,0
1374.85,1364.7,0
1375.85,1364.7,0
1376.85,1364.7,0
1378.22,1365.43,0
1379.97,1369.85,0
1380.97,1369.85,0
1382.62,1378.58,0
1384.25,1378.74,0
1385.8,1381.13,0
1387.38,1384.38,0
1388.38,1384.38,0
1391.56,1388.93,0
1392.62,1389.11,0
1394.12,1389.5,0
1395.12,1389.5,0
1396.47,1389.73,0
1398.74,1395.47,0
1399.96,1396.75,0
1402.5,1397.74,0
1403.97,1400.44,0
1405.95,1401.3,0
1406.95,1401.3,0
1409,1402.74,0
1410,1402.74,0
1412.32,1404.95,0
1413.32,1404.95,0
1414.58,1408,0
1416.06,1410.89,0
1417.06,1410.89,0
1418.9,1411.32,0
1424.79,1422.68,0
1427.2,1423.41,0
1428.2,1423.41,0
1429.53,1424.91,0
1430.53,1424.91,0
1431.53,1424.91,0
1432.53,1424.91,0
1433.53,1424.91,0
1435.51,1428.21,0
1439.46,1437.63,0
1440.97,1437.65,0
1441.97,1437.65,0
1445.91,1443.41,0
1447.52,1443.81,0
1449.11,1444.23,0
1450.11,1444.23,0
1451.11,1444.23,0
1452.38,1444.91,0
1453.38,1444.91,0
1455.1,1446.52,0
1457.06,1448.11,0
1458.06,1448.11,0
1460.79,1456.06,0
1461.79,1456.06,0
1465.83,1462.55,0
1467.82,1463.36,0
1468.82,1463.36,0
1469.82,1463.36,0
1470.82,1463.36,0
1473.14,1466.45,0
1474.14,1466.45,0
1475.14,1466.45,0
1476.54,1466.82,0
1477.56,1471.31,0
1478.56,1471.31,0
1479.8,1471.38,0
1481.37,1475.54,0
1482.6,1476.56,0
1486.14,1483.57,0
1487.77,1483.71,0
1489.76,1485.1,0
1490.76,1485.1,0
1492.11,1485.14,0
1493.11,1485.14,0
1496.49,1494.2,0
1497.49,1494.2,0
1499.36,1495.16,0
1501.48,1495.49,0
1503.57,1498.36,0
1504.57,1498.36,0
1505.77,1500.48,0
1508.05,1502.57,0
1510.23,1504.77,0
1511.28,1506.43,0
1512.46,1507.05,0
1513.56,1508.69,0
1515.45,1510.28,0
1518.05,1514.18,0
1519.05,1514.18,0
1523.61,1520.49,0
1524.91,1521.42,0
1526.31,1521.55,0
1527.31,1521.55,0
1528.31,1521.55,0
1529.78,1523.91,0
1531.62,1525.31,0
1534.26,1530.62,0
1535.43,1532.51,0
1536.43,1532.51,0
1537.43,1532.51,0
1539.48,1533.26,0
1541.9,1538.48,0
1542.9,1538.48,0
1544.57,1539.91,0
1545.81,1540.59,0
1547.22,1540.9,0
1548.22,1540.9,0
1549.22,1540.9,0
1550.29,1543.55,0
1551.29,1543.55,0
1553.16,1544.81,0
1554.16,1544.81,0
1555.31,1546.22,0
1558.55,1554.31,0
1559.55,1554.31,0
1560.57,1555.8,0
1561.57,1555.8,0
1563.74,1557.1,0
1565.59,1557.55,0
1566.59,1557.55,0
1567.74,1559.57,0
